,Article
LEGIARTI000034072668,"Pour l'application des dispositions du présent titre, sont considérés comme : 1° Prêteur, toute personne qui consent ou s'engage à consentir un crédit mentionné au présent titre dans le cadre de l'exercice de ses activités commerciales ou professionnelles ; 2° Emprunteur ou consommateur, toute personne physique qui est en relation avec un prêteur, ou un intermédiaire de crédit, dans le cadre d'une opération de crédit réalisée ou envisagée dans un but étranger à son activité commerciale ou professionnelle ; 3° Acquéreur, toute personne qui acquiert, souscrit ou commande au moyen des prêts mentionnés au 1° de l'article L. 313-1 ; 4° Vendeur, l'autre partie à ces mêmes opérations ; 5° Intermédiaire de crédit, toute personne qui, dans le cadre de ses activités commerciales ou professionnelles habituelles et contre une rémunération ou un avantage économique, apporte son concours à la réalisation d'une opération mentionnée au présent titre, sans agir en qualité de prêteur ; 6° Opération ou contrat de crédit, un contrat en vertu duquel un prêteur consent ou s'engage à consentir à l'emprunteur un crédit, relevant du champ d'application du présent titre, sous la forme d'un délai de paiement, d'un prêt, y compris sous forme de découvert ou de toute autre facilité de paiement similaire, à l'exception des contrats conclus en vue de la fourniture d'une prestation continue ou à exécution successive de services ou de biens de même nature et aux termes desquels l'emprunteur en règle le coût par paiements échelonnés pendant toute la durée de la fourniture ; 7° Coût total du crédit pour l'emprunteur, tous les coûts, y compris les intérêts, les frais, les taxes, les commissions ou rémunérations de toute nature, directs ou indirects, supportés par l'emprunteur et connus du prêteur à la date d'émission de l'offre de crédit ou de l'avenant au contrat de crédit, ou dont le montant peut être déterminé à ces mêmes dates, et qui constituent une condition pour obtenir le crédit ou pour l'obtenir aux conditions annoncées. Ce coût ne comprend pas les frais liés à l'acquisition des immeubles mentionnés au 1° de l'article L. 313-1 tels que les taxes y afférentes ou les frais d'acte notarié, ni les frais à la charge de l'emprunteur en cas de non-respect de l'une de ses obligations prévues dans le contrat de crédit. L'ensemble de ces coûts est défini à l'article L. 314-1 relatif au taux annuel effectif global, selon des modalités précisées par décret en Conseil d'Etat. 8° Taux débiteur, le taux d'intérêt exprimé en pourcentage fixe ou variable, appliqué au capital emprunté ou au montant de crédit utilisé, sur une base annuelle. Le taux débiteur est fixe lorsque le contrat de crédit prévoit soit un taux débiteur constant sur toute la durée du contrat de crédit, soit plusieurs taux débiteurs constants appliqués à des périodes partielles prédéterminées ; dans ce dernier cas, le taux est fixe uniquement pour ces périodes partielles, dans les autres cas, le taux débiteur est variable ou révisable ; 9° Montant total dû par l'emprunteur, la somme du montant total du crédit et du coût total du crédit dû par l'emprunteur ; 10° Montant total du crédit, le plafond ou le total des sommes rendues disponibles en vertu d'un contrat ou d'une opération de crédit ; 11° Contrat de crédit affecté ou contrat de crédit lié, le crédit servant exclusivement à financer un contrat relatif à la fourniture de biens particuliers ou la prestation de services particuliers ; ces deux contrats constituent une opération commerciale unique. Une opération commerciale unique est réputée exister lorsque le vendeur ou le prestataire de services finance lui-même le crédit ou, en cas de financement par un tiers, lorsque le prêteur recourt aux services du vendeur ou du prestataire pour la conclusion ou la préparation du contrat de crédit ou encore lorsque le contrat de crédit mentionne spécifiquement les biens ou les services concernés ; 12° Autorisation de découvert ou facilité de découvert, le contrat de crédit en vertu duquel le prêteur autorise expressément l'emprunteur à disposer de fonds qui dépassent le solde du compte de dépôt de ce dernier ; 13° Dépassement, un découvert tacitement accepté en vertu duquel un prêteur autorise l'emprunteur à disposer de fonds qui dépassent le solde de son compte de dépôt ou de l'autorisation de découvert convenue ; 14° Support durable, tout instrument permettant à l'emprunteur de conserver les informations qui lui sont adressées personnellement, d'une manière qui permet de s'y reporter aisément à l'avenir pendant un laps de temps adapté aux fins auxquelles les informations sont destinées et qui permet la reproduction identique des informations stockées ; 15° Service accessoire, un service proposé à l'emprunteur en rapport avec un contrat de crédit entrant dans le champ du présent titre ; 16° Crédit relais, un crédit d'une durée limitée destiné à faire l'avance partielle ou totale, et temporaire du produit de la vente d'un bien immobilier pour en acquérir un autre avant la vente du premier bien."
LEGIARTI000034072779,"Les dispositions du présent chapitre s'appliquent à toute opération de crédit mentionnée au 6° de l'article L. 311-1 , qu'elle soit conclue à titre onéreux ou à titre gratuit et, le cas échéant, à son cautionnement, dès lors que le montant total du crédit est égal ou supérieur à 200 euros et inférieur ou égal à 75 000 euros."
LEGIARTI000032226208,"Pour l'application des dispositions du présent chapitre, la location-vente et la location avec option d'achat sont assimilées à des opérations de crédit."
LEGIARTI000032226205,"Les opérations de prêts sur gage corporel souscrits auprès des caisses de crédit municipal en application de l' article L. 514-1 du code monétaire et financier sont soumises aux dispositions des articles L. 312-5 , L. 312-6 et L. 312-8 à L. 312-11 . Le contenu des informations que les caisses mentionnées au premier alinéa doivent mettre à la disposition de leur clientèle préalablement à l'octroi de ce prêt, les conditions dans lesquelles ces informations sont portées à la connaissance du public ainsi que les mentions obligatoires devant figurer dans les contrats de crédit sont fixés par décret."
LEGIARTI000032303299,"Sont exclus du champ d'application des dispositions du présent chapitre : 1° Les opérations de crédit destinées à permettre l'acquisition ou le maintien de droits de propriété ou de jouissance d'un terrain ou d'un immeuble existant ou à construire, y compris lorsque ces opérations visent également à permettre la réalisation de travaux de réparation, d'amélioration ou d'entretien du terrain ou de l'immeuble ainsi acquis ; 2° Les opérations de crédit garanties par une hypothèque, par une autre sûreté comparable sur les biens immobiliers à usage d'habitation ou par un droit lié à un bien immobilier à usage d'habitation relevant des dispositions du chapitre III du présent titre ; 3° Les opérations dont le montant total du crédit est inférieur à 200 euros ou supérieur à 75 000 euros, à l'exception de celles mentionnées à l'article L. 314-10 ayant pour objet le regroupement de crédits et de celles destinées à financer les dépenses relatives à la réparation, l'amélioration ou l'entretien d'un immeuble d'habitation ou à usage professionnel et d'habitation, lorsque le crédit n'est pas garanti par une hypothèque, par une autre sûreté comparable sur les biens immobiliers à usage d'habitation ou par un droit lié à un bien immobilier à usage d'habitation ; 4° Les opérations consenties sous la forme d'une autorisation de découvert remboursable dans un délai d'un mois ; 5° Les opérations de crédit comportant un délai de remboursement ne dépassant pas trois mois qui ne sont assorties d'aucun intérêt ni d'aucuns frais ou seulement d'intérêts et de frais d'un montant négligeable ; 6° Les opérations mentionnées au 3 de l'article L. 511-6 du code monétaire et financier ; 7° Les opérations mentionnées au 2 de l'article L. 321-2 du code monétaire et financier ; 8° Les contrats qui sont l'expression d'un accord intervenu devant une juridiction ; 9° Les contrats résultant d'un plan conventionnel de redressement mentionné à l'article L. 732-1 conclu devant la commission de surendettement des particuliers ; 10° Les accords portant sur des délais de paiement accordés pour le règlement amiable d'une dette existante, à condition qu'aucuns frais supplémentaires à ceux stipulés dans le contrat ne soient mis à la charge du consommateur ; 11° Les cartes proposant un débit différé n'excédant pas quarante jours et n'occasionnant aucuns autres frais que la cotisation liée au bénéfice de ce moyen de paiement."
LEGIARTI000032226198,"Toute publicité, à l'exception des publicités radiodiffusées, contient, quel que soit le support utilisé, la mention suivante : "" Un crédit vous engage et doit être remboursé. Vérifiez vos capacités de remboursement avant de vous engager ""."
LEGIARTI000032226196,"Toute publicité, quel qu'en soit le support, qui porte sur l'une des opérations mentionnées à l'article L. 312-1 et indique un taux d'intérêt ou des informations chiffrées liées au coût du crédit mentionne de façon claire, précise et visible les informations suivantes à l'aide d'un exemple représentatif : 1° Le taux débiteur et la nature fixe, variable ou révisable du taux, sauf pour les opérations de location-vente ou de location avec option d'achat, ainsi que les informations relatives à tous les frais compris dans le coût total du crédit pour l'emprunteur ; 2° Le montant total du crédit ; 3° Le taux annuel effectif global, sauf pour les opérations de location-vente ou de location avec option d'achat ; 4° S'il y a lieu, la durée du contrat de crédit ; 5° S'il s'agit d'un crédit accordé sous la forme d'un délai de paiement pour un bien ou un service donné, le prix au comptant et le montant de tout acompte ; 6° Le montant total dû par l'emprunteur et le montant des échéances. Si le prêteur exige qu'un service accessoire soit fourni pour l'obtention du crédit, notamment une assurance, la publicité mentionne de façon claire, précise et visible la nécessité de contracter ce service."
LEGIARTI000032226194,"Lorsqu'un prêteur propose habituellement des contrats de crédit assortis d'une proposition d'assurance ayant pour objet la garantie de remboursement du crédit, toute publicité mentionnée au premier alinéa de l'article L. 312-6 diffusée pour son compte sur ces contrats mentionne le coût de l'assurance, à l'aide de l'exemple représentatif mentionné au même alinéa. Ce coût est exprimé : 1° A l'exclusion de tout autre taux, en taux annuel effectif de l'assurance, qui permette la comparaison par l'emprunteur de ce taux avec le taux annuel effectif global du crédit ; 2° En montant total dû en euros par l'emprunteur au titre de l'assurance sur la durée totale du prêt ; 3° En euros par mois. Il est précisé si ce montant s'ajoute ou non à l'échéance de remboursement du crédit."
LEGIARTI000032226192,"Dans toute publicité écrite, quel que soit le support utilisé, les informations relatives au taux annuel effectif global, à sa nature fixe, variable ou révisable, au montant total dû par l'emprunteur et au montant des échéances, ainsi que la mention indiquée à l'article L. 312-5 , figurent dans une taille de caractère plus importante que celle utilisée pour indiquer toute autre information relative aux caractéristiques du financement, notamment le taux promotionnel, et s'inscrivent dans le corps principal du texte publicitaire."
LEGIARTI000032226190,"Lorsqu'une publicité est adressée par voie postale ou par courrier électronique, distribuée directement à domicile ou sur la voie publique, le document envoyé au consommateur lui rappelle de façon claire, précise et visible son droit de s'opposer sans frais à l'utilisation de ses données personnelles à des fins de prospection ainsi que les modalités d'exercice de ce droit. Lorsque cette publicité indique un taux d'intérêt ou des informations chiffrées liées au coût du crédit, les informations mentionnées à l'article L. 312-8 figurent, sous forme d'encadré, en en-tête du texte publicitaire."
LEGIARTI000032226188,"Il est interdit dans toute publicité d'indiquer qu'une opération ou un contrat de crédit, ou une opération de crédit consistant à regrouper des crédits antérieurs peut être consenti sans élément d'information permettant d'apprécier la situation financière de l'emprunteur, ou de laisser entendre que le prêt améliore la situation financière ou le budget de l'emprunteur, entraîne une augmentation de ressources, constitue un substitut d'épargne ou accorde une réserve automatique d'argent immédiatement disponible sans contrepartie financière identifiable. Lorsqu'une publicité compare le montant des échéances d'un ou plusieurs crédits antérieurs, et le cas échéant d'autres dettes, à celui d'une échéance résultant d'une opération de regroupement de crédits, elle mentionne de manière claire et apparente, d'une part, la somme des coûts totaux des crédits antérieurs et, d'autre part, le coût total du crédit postérieur à l'opération précitée. Il est également interdit dans toute publicité de mentionner l'existence d'une période de franchise de paiement de loyers ou de remboursement des échéances du crédit supérieure à trois mois. Cette interdiction ne s'applique pas aux prêts aidés par l'Etat destinés au financement d'une formation à la conduite et à la sécurité routière et aux prêts garantis par l'Etat destinés au financement de leurs études par les étudiants."
LEGIARTI000032226186,Il est interdit dans toute publicité de proposer sous quelque forme que ce soit des lots promotionnels liés à l'acceptation d'une offre préalable de crédit.
LEGIARTI000035731440,"Préalablement à la conclusion du contrat de crédit, le prêteur ou l'intermédiaire de crédit fournit à l'emprunteur, sous forme d'une fiche d'informations, sur support papier ou sur un autre support durable, les informations nécessaires à la comparaison de différentes offres et permettant à l'emprunteur, compte tenu de ses préférences, d'appréhender clairement l'étendue de son engagement. La liste et le contenu des informations devant figurer dans la fiche d'informations à fournir pour chaque offre de crédit ainsi que les conditions de sa présentation sont fixés par décret en Conseil d'Etat. Cette fiche comporte, en caractères lisibles, la mention indiquée à l'article L. 312-5 . Lorsque le consommateur sollicite la conclusion d'un contrat de crédit sur le lieu de vente, le prêteur veille à ce que la fiche d'informations mentionnée au premier alinéa lui soit fournie, sur le lieu de vente, sur support papier, ou tout autre support durable. Lorsque le prêteur offre à l'emprunteur ou exige de lui la souscription d'une assurance, le prêteur ou l'intermédiaire de crédit informe l'emprunteur du coût de l'assurance en portant à sa connaissance les éléments mentionnés à l'article L. 312-7 ."
LEGIARTI000035731436,"A la demande de l'emprunteur, le prêteur lui fournit sans frais, s'il est disposé à lui consentir un crédit, outre les informations mentionnées à l'article L. 312-12 , un exemplaire de l'offre de contrat sur support papier ou tout autre support durable. Toutes les informations complémentaires que le prêteur souhaite donner à l'emprunteur sont fournies dans un document distinct de la fiche mentionnée à l'article L. 312-12."
LEGIARTI000032226174,"Le prêteur ou l'intermédiaire de crédit fournit à l'emprunteur les explications lui permettant de déterminer si le contrat de crédit proposé est adapté à ses besoins et à sa situation financière, notamment à partir des informations contenues dans la fiche mentionnée à l'article L. 312-12 . Il attire l'attention de l'emprunteur sur les caractéristiques essentielles du ou des crédits proposés et sur les conséquences que ces crédits peuvent avoir sur sa situation financière, y compris en cas de défaut de paiement. Ces informations sont données, le cas échéant, sur la base des préférences exprimées par l'emprunteur. Lorsque le crédit est proposé sur un lieu de vente, le prêteur veille à ce que l'emprunteur reçoive ces explications de manière complète et appropriée sur le lieu même de la vente, dans des conditions garantissant la confidentialité des échanges."
LEGIARTI000032226172,"Lorsque la conclusion d'une opération mentionnée à l'article L. 312-1 donne droit, ou peut donner droit, à titre gratuit, immédiatement ou à terme, à une prime en nature de produits ou biens, la valeur de cette prime ne peut être supérieure à un seuil fixé par arrêté du ministre chargé de l'économie."
LEGIARTI000032226168,"Avant de conclure le contrat de crédit, le prêteur vérifie la solvabilité de l'emprunteur à partir d'un nombre suffisant d'informations, y compris des informations fournies par ce dernier à la demande du prêteur. Le prêteur consulte le fichier prévu à l'article L. 751-1 , dans les conditions prévues par l'arrêté mentionné à l'article L. 751-6 , sauf dans le cas d'une opération mentionnée au 1 de l'article L. 511-6 ou au 1 du I de l'article L. 511-7 du code monétaire et financier ."
LEGIARTI000035731432,"Lorsque les opérations de crédit sont conclues sur le lieu de vente ou au moyen d'une technique de communication à distance, une fiche d'informations distincte de la fiche mentionnée à l'article L. 312-12 est fournie par le prêteur ou par l'intermédiaire de crédit à l'emprunteur. Cette fiche, établie sur support papier ou sur un autre support durable, comporte notamment les éléments relatifs aux ressources et charges de l'emprunteur ainsi que, le cas échéant, aux prêts en cours contractés par ce dernier. La fiche est signée ou son contenu confirmé par voie électronique par l'emprunteur et contribue à l'évaluation de sa solvabilité par le prêteur. Les informations figurant dans la fiche font l'objet d'une déclaration certifiant sur l'honneur leur exactitude. Cette fiche est conservée par le prêteur pendant toute la durée du prêt. Si le montant du crédit accordé est supérieur à un seuil défini par décret, la fiche est corroborée par des pièces justificatives dont la liste est définie par décret."
LEGIARTI000035731428,"L'offre de contrat de crédit est établie sur support papier ou sur un autre support durable. Elle est fournie en autant d'exemplaires que de parties et, le cas échéant, à chacune des cautions. La remise ou l'envoi de l'offre de contrat de crédit à l'emprunteur oblige le prêteur à en maintenir les conditions pendant une durée minimale de quinze jours à compter de cette remise ou de cet envoi."
LEGIARTI000034072770,L'emprunteur peut se rétracter sans motifs dans un délai de quatorze jours calendaires révolus à compter du jour de l'acceptation de l'offre de contrat de crédit comprenant les informations prévues à l'article L. 312-28 .
LEGIARTI000034072759,Le délai mentionné à l'article L. 312-19 court à compter du jour de l'acceptation de l'offre de contrat de crédit comprenant les informations prévues à l'article L. 312-28 .
LEGIARTI000032226155,"Afin de permettre l'exercice du droit de rétractation mentionné à l'article L. 312-19 , un formulaire détachable est joint à son exemplaire du contrat de crédit."
LEGIARTI000032226152,L'exercice par l'emprunteur de son droit de rétractation ne peut donner lieu à enregistrement sur un fichier.
LEGIARTI000032226150,"En cas d'exercice de son droit de rétractation, l'emprunteur n'est plus tenu par le contrat de service accessoire au contrat de crédit."
LEGIARTI000032226148,"Le contrat accepté par l'emprunteur ne devient parfait qu'à la double condition que celui-ci n'ait pas fait usage de sa faculté de rétractation et que le prêteur ait fait connaître à l'emprunteur sa décision d'accorder le crédit, dans un délai de sept jours. L'agrément de la personne de l'emprunteur est réputé refusé si, à l'expiration de ce délai, la décision d'accorder le crédit n'a pas été portée à la connaissance de l'intéressé. L'agrément de la personne de l'emprunteur parvenu à sa connaissance après l'expiration de ce délai reste néanmoins valable si celui-ci entend toujours bénéficier du crédit. La mise à disposition des fonds au-delà du délai de sept jours mentionné à l'article L. 312-25 vaut agrément de l'emprunteur par le prêteur."
LEGIARTI000032226146,"Pendant un délai de sept jours à compter de l'acceptation du contrat par l'emprunteur, aucun paiement, sous quelque forme et à quelque titre que ce soit, ne peut être fait par le prêteur à l'emprunteur ou pour le compte de celui-ci, ni par l'emprunteur au prêteur. Pendant ce même délai, l'emprunteur ne peut non plus faire, au titre de l'opération en cause, aucun dépôt au profit du prêteur ou pour le compte de celui-ci. Si une autorisation du prélèvement sur son compte bancaire est signée par l'emprunteur, sa validité et sa prise d'effet sont subordonnées à celles du contrat de crédit."
LEGIARTI000032226144,"A compter du jour suivant la mise à disposition des fonds à l'emprunteur et en cas de rétractation, l'emprunteur rembourse au prêteur le capital versé et paye les intérêts cumulés sur ce capital depuis la date à laquelle le crédit lui a été versé jusqu'à la date à laquelle le capital est remboursé, sans retard indu et au plus tard trente jours après avoir envoyé la notification de la rétractation au prêteur. Les intérêts sont calculés sur la base du taux débiteur figurant au contrat. Le prêteur n'a droit à aucune indemnité versée par l'emprunteur en cas de rétractation."
LEGIARTI000032226142,"Le prêteur est responsable de plein droit à l'égard de l'emprunteur de la bonne exécution des obligations relatives à la formation du contrat de crédit, que ces obligations soient à exécuter par le prêteur qui a conclu ce contrat ou par des intermédiaires de crédit intervenant dans le processus de formation du contrat de crédit, sans préjudice de son droit de recours contre ceux-ci."
LEGIARTI000035731424,"Le contrat de crédit est établi sur support papier ou sur un autre support durable. Il constitue un document distinct de tout support ou document publicitaire, ainsi que de la fiche mentionnée à l'article L. 312-12 . Un encadré, inséré au début du contrat, informe l'emprunteur des caractéristiques essentielles du crédit. La liste des informations figurant dans le contrat et dans l'encadré mentionné au premier alinéa est fixée par décret en Conseil d'Etat."
LEGIARTI000035731420,"Lorsque l'offre de contrat de crédit est assortie d'une proposition d'assurance, une notice est fournie à l'emprunteur, sur support papier, ou tout autre support durable. Cette notice comporte les extraits des conditions générales de l'assurance le concernant, notamment les nom et adresse de l'assureur, la durée, les risques couverts et ceux qui sont exclus. Si l'assurance est exigée par le prêteur pour obtenir le financement, la fiche d'informations mentionnée à l'article L. 312-12 et l'offre de contrat de crédit rappellent que l'emprunteur peut souscrire une assurance équivalente auprès de l'assureur de son choix. Si l'assurance est facultative, l'offre de contrat de crédit rappelle les modalités suivant lesquelles l'emprunteur peut ne pas y adhérer."
LEGIARTI000032226134,"Aucun vendeur ni prestataire de services ne peut, pour un même bien ou une même prestation de services, faire signer par un même client un ou plusieurs contrats de crédit, d'un montant total en capital supérieur à la valeur payable à crédit du bien acheté ou de la prestation de services fournie. Cette disposition ne s'applique pas aux contrats de crédit renouvelable mentionnés à l'article L. 312-57 ."
LEGIARTI000035731417,"En cas de modification du taux débiteur, l'emprunteur en est informé sur support papier ou sur un autre support durable, avant que la modification n'entre en vigueur. Cette information indique le montant des échéances après l'entrée en vigueur du nouveau taux débiteur ainsi que, le cas échéant, toute modification du nombre ou de la périodicité des échéances. Lorsque la modification du taux débiteur résulte d'une variation du taux de référence, que le nouveau taux de référence est rendu public par des moyens appropriés et que l'information relative au nouveau taux de référence est également disponible dans les locaux du prêteur, les parties peuvent convenir dans le contrat de crédit que cette information est fournie périodiquement à l'emprunteur."
LEGIARTI000048524227,"Avant de modifier les conditions du contrat de crédit, le prêteur communique à l'emprunteur les informations relatives aux modifications envisagées au contrat de crédit de ce dernier, en précisant celles qui nécessitent son consentement, ainsi que les informations relatives au calendrier de mise en œuvre des modifications envisagées et aux modalités de réclamation et de médiation. La liste des informations à communiquer à l'emprunteur est fixée par décret en Conseil d'Etat."
LEGIARTI000035731414,"Pour les opérations de crédit mentionnées au présent chapitre, à l'exclusion de la location-vente et de la location avec option d'achat, le prêteur fournit, au moins une fois par an, à l'emprunteur, l'information relative au montant du capital restant à rembourser, sur support papier ou tout autre support durable. Cette information figure, en caractères lisibles, sur la première page du document fourni à l'emprunteur."
